TRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,OUTSTANDING_SHARE,TURNOVER,TS_CODE,AK_SYMBOL,RET,LOG_RET,RV_20,FUTURE_RV_5
2026-02-10,54.1,57.43,54.1,54.49,70572553.0,3911810602.0,597448928.0,0.1181231561269116,300456.SZ,sz300456,0.0073950822702901,0.0073678727116713,0.0437130910464412,0.0368334491139781
2026-02-11,53.41,54.57,52.65,52.66,42328864.0,2257845042.0,597448928.0,0.0708493429583992,300456.SZ,sz300456,-0.033584143879611,-0.0341610445268437,0.0428975415423334,0.0398807841937542
2026-02-12,52.81,55.8,52.5,54.53,54848458.0,2982081386.0,597448928.0,0.0918044295160238,300456.SZ,sz300456,0.0355108241549564,0.0348948548698069,0.0435690250147482,0.0446655308605985
2026-02-13,53.8,53.98,51.81,51.9,51117029.0,2684046927.0,597448928.0,0.0855588262098279,300456.SZ,sz300456,-0.0482303319273794,-0.0494322187661272,0.0447015046233374,0.0393854154546466
2026-02-24,52.6,55.5,52.12,54.1,55714985.0,2998986216.0,597448928.0,0.0932548078820889,300456.SZ,sz300456,0.0423892100192679,0.041515395680593,0.0392361314666451,0.0438145436488183
2026-02-25,54.01,55.79,53.1,54.93,52613994.0,2875377548.0,597448928.0,0.0880644211315749,300456.SZ,sz300456,0.0153419593345656,0.0152254615020931,0.0392328000514167,0.0432931480342423
2026-02-26,55.25,58.58,54.68,57.65,88533242.0,5076158414.0,597448928.0,0.1481854562805408,300456.SZ,sz300456,0.0495175678135808,0.0483305993605389,0.0403305790002523,0.0375576841510841
2026-02-27,55.8,55.86,53.6,54.46,71114158.0,3866221682.0,597448928.0,0.1190296854963977,300456.SZ,sz300456,-0.0553339115351256,-0.0569237594694544,0.0418572678354937,0.0281622131838406
2026-03-02,52.61,54.55,52.61,53.65,44611360.0,2397050789.0,597448928.0,0.0746697464992355,300456.SZ,sz300456,-0.0148733015056923,-0.0149850181689061,0.0415654422647078,0.0350347739160996
2026-03-03,54.38,55.2,50.5,50.54,56105037.0,2943121029.0,597448928.0,0.0939076703808229,300456.SZ,sz300456,-0.0579683131407269,-0.0597163671166593,0.0420827759815299,0.0305980098671609
2026-03-04,49.5,51.7,49.4,50.65,33119765.0,1677836032.0,597448928.0,0.0554353074343452,300456.SZ,sz300456,0.0021764938662445,0.0021741287346441,0.0418750008639046,0.0316334545368926
2026-03-05,52.06,52.2,50.09,50.44,32353938.0,1650444201.0,597448928.0,0.0541534790401364,300456.SZ,sz300456,-0.0041461006910168,-0.0041547195979736,0.0414031105656484,0.0320287057136029
2026-03-06,49.7,50.85,49.3,49.82,27867820.0,1393220885.0,597448928.0,0.0466446899374133,300456.SZ,sz300456,-0.0122918318794607,-0.0123680012626844,0.0410140849640169,0.0315870417527983
2026-03-09,48.5,48.52,45.88,47.44,42956852.0,2004275036.0,597448928.0,0.0719004587451531,300456.SZ,sz300456,-0.0477719791248495,-0.0489507551445644,0.0419263457276783,0.0233331226255331
2026-03-10,48.5,49.99,48.33,49.67,40474385.0,1994221483.0,597448928.0,0.0677453470968484,300456.SZ,sz300456,0.0470067453625633,0.0459353744297892,0.0431126468975376,0.0342832103133283
2026-03-11,49.5,50.94,48.76,48.78,36258690.0,1801848079.0,597448928.0,0.0606891874781303,300456.SZ,sz300456,-0.0179182605194282,-0.0180807363314849,0.0399413437199965,0.0349802554534566
2026-03-12,48.48,49.3,47.12,48.2,33138091.0,1590644717.0,597448928.0,0.0554659811859265,300456.SZ,sz300456,-0.0118901189011889,-0.0119613717312195,0.0399738334224473,0.036511630743609
2026-03-13,48.18,49.46,47.66,48.03,28252082.0,1371942819.0,597448928.0,0.0472878612312113,300456.SZ,sz300456,-0.0035269709543568,-0.0035332053798215,0.03732480747556,0.0369229301470503
