TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2026-01-26,195.95,3.59,1135725184.0,14.59,769842160.0,9.89,365883024.0,4.7,-486425824.0,-6.25,-649299344.0,-8.34,300394.SZ
2026-01-27,210.06,7.2,1103099488.0,8.89,1394040272.0,11.23,-290940784.0,-2.34,-798178864.0,-6.43,-304920624.0,-2.46,300394.SZ
2026-01-28,219.57,4.53,1545560832.0,12.45,1102242096.0,8.88,443318736.0,3.57,-798800592.0,-6.43,-746760240.0,-6.02,300394.SZ
2026-01-29,224.0,2.02,845335392.0,6.71,557266240.0,4.43,288069152.0,2.29,-346573568.0,-2.75,-498761824.0,-3.96,300394.SZ
2026-01-30,248.43,10.91,1055400192.0,6.0,1556165376.0,8.85,-500765184.0,-2.85,-744520064.0,-4.24,-310880128.0,-1.77,300394.SZ
2026-02-02,238.49,-4.0,-977391616.0,-6.5,-1561466624.0,-10.38,584075008.0,3.88,382014912.0,2.54,595376592.0,3.96,300394.SZ
2026-02-03,270.0,13.21,609600512.0,3.76,309533184.0,1.91,300067328.0,1.85,-135602272.0,-0.84,-473998336.0,-2.92,300394.SZ
2026-02-04,266.66,-1.24,-93451072.0,-0.79,-74306224.0,-0.63,-19144848.0,-0.16,102761376.0,0.87,-9310320.0,-0.08,300394.SZ
2026-02-05,251.9,-5.54,-598631472.0,-5.71,-134985376.0,-1.29,-463646096.0,-4.42,107259952.0,1.02,491371520.0,4.69,300394.SZ
2026-02-06,252.97,0.42,49819024.0,0.4,757399920.0,6.05,-707580896.0,-5.65,-2380832.0,-0.02,-47438096.0,-0.38,300394.SZ
2026-02-09,297.9,17.76,1185602560.0,7.16,1264411648.0,7.63,-78809088.0,-0.48,-801902144.0,-4.84,-383700288.0,-2.32,300394.SZ
2026-02-10,287.87,-3.37,-882717536.0,-9.17,-580630512.0,-6.03,-302087024.0,-3.14,330346800.0,3.43,552370736.0,5.74,300394.SZ
2026-02-11,288.5,0.22,-329289376.0,-3.27,-944058560.0,-9.36,614769184.0,6.1,232515216.0,2.31,96774160.0,0.96,300394.SZ
2026-02-12,330.0,14.38,468874240.0,3.05,230629632.0,1.5,238244608.0,1.55,-52753360.0,-0.34,-416120816.0,-2.7,300394.SZ
2026-02-13,311.58,-5.58,-460406608.0,-4.89,-684022128.0,-7.27,223615520.0,2.38,223615584.0,2.38,236791040.0,2.52,300394.SZ
2026-02-24,351.01,12.65,376306976.0,2.98,46691824.0,0.37,329615152.0,2.61,-35681232.0,-0.28,-340625696.0,-2.7,300394.SZ
2026-02-25,341.51,-2.71,-1119917712.0,-9.91,-825873120.0,-7.31,-294044592.0,-2.6,483638240.0,4.28,636279472.0,5.63,300394.SZ
2026-02-26,362.02,6.01,-21665792.0,-0.14,-931856384.0,-5.95,910190592.0,5.81,180356880.0,1.15,-158690864.0,-1.01,300394.SZ
2026-02-27,368.7,1.85,-632555984.0,-4.38,-825568816.0,-5.72,193012832.0,1.34,308839744.0,2.14,323716368.0,2.24,300394.SZ
2026-03-02,350.0,-5.07,-1648457472.0,-8.31,-1839245824.0,-9.27,190788352.0,0.96,568122192.0,2.86,1080335312.0,5.45,300394.SZ
2026-03-03,334.56,-4.41,-1525048064.0,-9.97,-986012928.0,-6.45,-539035136.0,-3.52,434163280.0,2.84,1090884624.0,7.13,300394.SZ
2026-03-04,335.56,0.3,-132491760.0,-1.37,80084288.0,0.83,-212576048.0,-2.21,26838192.0,0.28,105653568.0,1.1,300394.SZ
2026-03-05,334.8,-0.23,441032496.0,4.01,746539312.0,6.79,-305506816.0,-2.78,-218457312.0,-1.99,-222575184.0,-2.03,300394.SZ
2026-03-06,322.88,-3.56,-1108109232.0,-10.31,-272661552.0,-2.54,-835447680.0,-7.77,-9695600.0,-0.09,1117804816.0,10.4,300394.SZ
2026-03-09,306.96,-4.93,-1157215920.0,-10.18,-203874992.0,-1.79,-953340928.0,-8.39,18634832.0,0.16,1138581088.0,10.02,300394.SZ
2026-03-10,340.48,10.92,1239070912.0,9.72,1338763312.0,10.5,-99692400.0,-0.78,-520535200.0,-4.08,-718535712.0,-5.64,300394.SZ
2026-03-11,331.0,-2.78,-753243936.0,-8.39,-561118480.0,-6.25,-192125456.0,-2.14,219824672.0,2.45,533419248.0,5.94,300394.SZ
2026-03-12,334.04,0.92,-124148544.0,-1.07,412445024.0,3.55,-536593568.0,-4.62,-307226416.0,-2.64,431374976.0,3.71,300394.SZ
2026-03-13,325.0,-2.71,-153921600.0,-2.1,-139156544.0,-1.9,-14765056.0,-0.2,180963280.0,2.47,-27041680.0,-0.37,300394.SZ
2026-03-16,311.17,-4.26,-898205552.0,-8.26,-937881280.0,-8.63,39675728.0,0.37,-10048240.0,-0.09,908253792.0,8.36,300394.SZ
2026-03-17,280.0,-10.02,-1948164896.0,-12.93,-1800669984.0,-11.95,-147494912.0,-0.98,713199200.0,4.73,1234965824.0,8.2,300394.SZ
2026-03-18,303.3,8.32,1040806288.0,7.56,538921808.0,3.91,501884480.0,3.65,-531319392.0,-3.86,-509486912.0,-3.7,300394.SZ
2026-03-19,307.99,1.55,-75311440.0,-0.76,-209797872.0,-2.12,134486432.0,1.36,298049296.0,3.01,-222737872.0,-2.25,300394.SZ
2026-03-20,312.0,1.3,19952368.0,0.16,-200571232.0,-1.56,220523600.0,1.71,136083392.0,1.06,-156035776.0,-1.21,300394.SZ
2026-03-23,298.49,-4.33,-349404816.0,-4.22,-301978176.0,-3.65,-47426640.0,-0.57,197306464.0,2.39,152098320.0,1.84,300394.SZ
2026-03-24,298.71,0.07,-493960432.0,-5.38,30164928.0,0.33,-524125360.0,-5.7,398453408.0,4.34,95507024.0,1.04,300394.SZ
2026-03-25,318.1,6.49,1388135760.0,11.34,1559140896.0,12.74,-171005136.0,-1.4,-833543872.0,-6.81,-554591872.0,-4.53,300394.SZ
2026-03-26,325.0,2.17,429191136.0,3.23,298840608.0,2.25,130350528.0,0.98,-263420016.0,-1.99,-165771120.0,-1.25,300394.SZ
2026-03-27,317.6,-2.28,-464345392.0,-5.11,-38508672.0,-0.42,-425836720.0,-4.68,121071440.0,1.33,343273968.0,3.78,300394.SZ
2026-03-30,316.81,-0.25,-384044496.0,-5.27,-283015328.0,-3.88,-101029168.0,-1.39,209843280.0,2.88,174201216.0,2.39,300394.SZ
2026-03-31,301.6,-4.8,-1168542112.0,-14.18,-671652912.0,-8.15,-496889200.0,-6.03,98213840.0,1.19,1070328272.0,12.99,300394.SZ
2026-04-01,333.33,10.52,1284813344.0,9.39,1442882400.0,10.55,-158069056.0,-1.16,-853941808.0,-6.24,-430871440.0,-3.15,300394.SZ
2026-04-02,322.8,-3.16,-398573168.0,-4.34,-275267792.0,-3.0,-123305376.0,-1.34,271584288.0,2.96,126988880.0,1.38,300394.SZ
2026-04-03,333.86,3.43,890662352.0,8.24,314678784.0,2.91,575983568.0,5.33,-303065168.0,-2.8,-587597184.0,-5.44,300394.SZ
2026-04-07,317.36,-4.94,-1147224256.0,-10.82,-936005200.0,-8.83,-211219056.0,-1.99,306145776.0,2.89,841078480.0,7.93,300394.SZ
2026-04-08,337.0,6.19,922539632.0,5.99,724956096.0,4.71,197583536.0,1.28,-399353376.0,-2.59,-523186080.0,-3.4,300394.SZ
2026-04-09,346.9,2.94,92828928.0,0.55,692488704.0,4.14,-599659776.0,-3.58,-200292192.0,-1.2,107463184.0,0.64,300394.SZ
2026-04-10,358.9,3.46,548554752.0,3.19,586265856.0,3.41,-37711104.0,-0.22,-295131968.0,-1.72,-253422800.0,-1.47,300394.SZ
2026-04-13,351.0,-2.2,-953424064.0,-7.29,-768693456.0,-5.88,-184730608.0,-1.41,206720016.0,1.58,746704064.0,5.71,300394.SZ
2026-04-14,345.84,-1.47,-1847618000.0,-11.75,-1210204624.0,-7.7,-637413376.0,-4.06,894125376.0,5.69,953492352.0,6.07,300394.SZ
2026-04-15,330.66,-4.39,-2060061152.0,-14.74,-1081379184.0,-7.74,-978681968.0,-7.0,352773952.0,2.52,1707287008.0,12.22,300394.SZ
2026-04-16,355.57,7.53,1669171328.0,9.94,1971315840.0,11.74,-302144512.0,-1.8,-861690928.0,-5.13,-807480176.0,-4.81,300394.SZ
2026-04-17,379.28,6.67,369186560.0,2.16,462081792.0,2.71,-92895232.0,-0.54,-548649424.0,-3.21,179462720.0,1.05,300394.SZ
2026-04-20,374.5,-1.26,-417231248.0,-2.75,-393996288.0,-2.59,-23234960.0,-0.15,-21599744.0,-0.14,438830880.0,2.89,300394.SZ
2026-04-21,353.0,-5.74,-986077440.0,-5.02,-730282496.0,-3.72,-255794944.0,-1.3,196983472.0,1.0,789094224.0,4.02,300394.SZ
2026-04-22,375.41,6.35,1127475968.0,5.96,1499036160.0,7.93,-371560192.0,-1.97,-582423088.0,-3.08,-545052592.0,-2.88,300394.SZ
2026-04-23,350.09,-6.74,-3209456640.0,-16.18,-2957394432.0,-14.91,-252062208.0,-1.27,1259082304.0,6.35,1950374480.0,9.83,300394.SZ
