TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2025-12-18,57.95,-5.26,-2442744000.0,-23.53,-1561834080.0,-15.05,-880909920.0,-8.49,598497040.0,5.77,1844246960.0,17.77,601138.SH
2025-12-19,57.97,0.03,-169915024.0,-2.93,-32690224.0,-0.56,-137224800.0,-2.37,26686400.0,0.46,143228608.0,2.47,601138.SH
2025-12-22,60.29,4.0,1334294384.0,12.55,978523424.0,9.21,355770960.0,3.35,-520154368.0,-4.89,-814140000.0,-7.66,601138.SH
2025-12-23,62.53,3.72,1348363472.0,9.95,1224642336.0,9.04,123721136.0,0.91,-754643616.0,-5.57,-593719856.0,-4.38,601138.SH
2025-12-24,64.81,3.65,1004784912.0,7.11,930348992.0,6.59,74435920.0,0.53,-588135024.0,-4.16,-416649872.0,-2.95,601138.SH
2025-12-25,66.39,2.44,686919056.0,5.07,553086288.0,4.08,133832768.0,0.99,-488630272.0,-3.61,-198288768.0,-1.46,601138.SH
2025-12-26,63.51,-4.34,-1593455952.0,-12.83,-1236740976.0,-9.96,-356714976.0,-2.87,437658704.0,3.52,1155797248.0,9.31,601138.SH
2025-12-29,64.91,2.2,568482480.0,4.6,805979232.0,6.52,-237496752.0,-1.92,-239690960.0,-1.94,-328791520.0,-2.66,601138.SH
2025-12-30,63.9,-1.56,-883063808.0,-9.23,-580166384.0,-6.06,-302897424.0,-3.17,189319600.0,1.98,693744208.0,7.25,601138.SH
2025-12-31,61.72,-3.41,-2099261264.0,-21.38,-1763830064.0,-17.97,-335431200.0,-3.42,555215280.0,5.66,1544046000.0,15.73,601138.SH
2026-01-05,63.34,2.62,68328896.0,0.67,12544240.0,0.12,55784656.0,0.55,-89142192.0,-0.88,20813280.0,0.21,601138.SH
2026-01-06,63.72,0.6,-158596832.0,-1.46,-102572864.0,-0.94,-56023968.0,-0.52,-57236800.0,-0.53,215833632.0,1.98,601138.SH
2026-01-07,62.82,-1.41,-953355776.0,-9.08,-533735648.0,-5.08,-419620128.0,-3.99,215565392.0,2.05,737790368.0,7.02,601138.SH
2026-01-08,61.0,-2.9,-2032609392.0,-17.65,-1227046000.0,-10.66,-805563392.0,-7.0,436873440.0,3.79,1595735968.0,13.86,601138.SH
2026-01-09,61.15,0.25,-695396192.0,-7.29,-156665536.0,-1.64,-538730656.0,-5.64,-41399104.0,-0.43,736795296.0,7.72,601138.SH
2026-01-12,60.6,-0.9,-1539389856.0,-12.06,-833030448.0,-6.53,-706359408.0,-5.53,174714672.0,1.37,1364675200.0,10.69,601138.SH
2026-01-13,59.1,-2.48,-2009149728.0,-17.28,-924360336.0,-7.95,-1084789392.0,-9.33,535373216.0,4.6,1473776496.0,12.68,601138.SH
2026-01-14,59.67,0.96,-242290656.0,-2.58,113384544.0,1.21,-355675200.0,-3.79,-133292672.0,-1.42,375583328.0,4.0,601138.SH
2026-01-15,60.46,1.32,315573712.0,3.68,281344000.0,3.28,34229712.0,0.4,-240790912.0,-2.81,-74782800.0,-0.87,601138.SH
2026-01-16,63.0,4.2,2110524528.0,12.85,1361924368.0,8.29,748600160.0,4.56,-1067392944.0,-6.5,-1043131424.0,-6.35,601138.SH
2026-01-19,60.9,-3.33,-1577748096.0,-13.68,-989277712.0,-8.58,-588470384.0,-5.1,363594400.0,3.15,1214153696.0,10.53,601138.SH
2026-01-20,59.67,-2.02,-1109904992.0,-13.39,-535231824.0,-6.46,-574673168.0,-6.93,1265520.0,0.02,1108639472.0,13.38,601138.SH
2026-01-21,61.56,3.17,1538756688.0,14.6,1487774048.0,14.11,50982640.0,0.48,-841474128.0,-7.98,-697282560.0,-6.61,601138.SH
